["#0000000040000002#","Vicinity","",1775526628]Welcome to AnarchyOnline
["#000000004200000a#","Other hit by other","",1775526798]Biggi3's reflect shield hit Ground Chief Aune for 68 points of damage.
["#000000004200000a#","Other hit by other","",1775526798]Biggi3's damage shield hit Ground Chief Aune for 334 points of damage.
["#000000004200000a#","Other hit by other","",1775526798]Someone absorbed 1817 points of cold damage.
["#0000000040000001#","System","",1775526798]You're unable to attack.
["#0000000040000001#","System","",1775526798]You're unable to attack.
["#0000000040000001#","System","",1775526798]You can't fight at the moment!
["#0000000040000001#","System","",1775526798]You're unable to attack.
["#0000000040000001#","System","",1775526798]You can't fight at the moment!
["#0000000040000001#","System","",1775526798]You're unable to attack.
["#0000000040000001#","System","",1775526798]You're unable to attack.
["#0000000040000001#","System","",1775526798]Unable to perform action Starfall perk is locked, able in 00:00:16
["#0000000040000001#","System","",1775526798]Unable to perform action Starfall perk is locked, able in 00:00:16
["#0000000040000001#","System","",1775526798]Unable to perform action Starfall perk is locked, able in 00:00:24
["#0000000040000001#","System","",1775526798]Action is not available.
["#0000000040000001#","System","",1775526798]Unable to perform action Pistol Mastery perk is locked, able in 00:00:36
["#0000000040000001#","System","",1775526798]Unable to perform action Pistol Mastery perk is locked, able in 00:00:14
["#0000000040000001#","System","",1775526798]Unable to perform action Pistol Mastery perk is locked, able in 00:00:37
["#0000000040000001#","System","",1775526798]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:13
["#0000000040000001#","System","",1775526798]Unable to perform action Champion of Light Artillery perk is locked, able in 00:01:10
["#0000000040000001#","System","",1775526798]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:17
["#0000000040000001#","System","",1775526798]Unable to perform action Champion of Nano Combat perk is locked, able in 00:01:14
["#0000000040000001#","System","",1775526798]You can't fight at the moment!
["#0000000040000001#","System","",1775526798]You're unable to attack.
["#0000000040000001#","System","",1775526798]You can't fight at the moment!
["#0000000041000000#","Your Pets","",1775526798]Plus1's pet, Briefcase: You are in violation of our agreement.
["#0000000041000000#","Your Pets","",1775526798]Plus1's pet, Sword: Charge!
["#0000000040000001#","System","",1775526798]You are currently unable to use perk special actions!
["#0000000040000001#","System","",1775526798]You are currently unable to use perk special actions!
["#0000000042000009#","Your pet hit by other","",1775526798]Sword hit Ground Chief Aune for 1239 points of radiation damage.
["#0000000042000018#","Me Cast Nano","",1775526798]Executing programs is currently unavailable.
["#0000000042000018#","Me Cast Nano","",1775526798]Unable to execute nano program. You can't execute this nano on the target.
["#0000000042000018#","Me Cast Nano","",1775526798]Executing programs is currently unavailable.
["#0000000042000018#","Me Cast Nano","",1775526798]Unable to execute nano program. You can't execute this nano on the target.
["#000000004200000a#","Other hit by other","",1775526798]Biggi3 hit Ground Chief Aune for 1058 points of melee damage. Glancing hit.
["#0000000042000018#","Me Cast Nano","",1775526799]Executing programs is currently unavailable.
["#0000000042000018#","Me Cast Nano","",1775526799]Unable to execute nano program. You can't execute this nano on the target.
["#0000000042000018#","Me Cast Nano","",1775526799]Executing programs is currently unavailable.
["#0000000042000018#","Me Cast Nano","",1775526799]Unable to execute nano program. You can't execute this nano on the target.
["#0000000040000001#","System","",1775526799]You're unable to attack.
["#0000000040000001#","System","",1775526799]You're unable to attack.
["#0000000040000001#","System","",1775526799]Unable to perform action Starfall perk is locked, able in 00:00:15
["#0000000040000001#","System","",1775526799]Unable to perform action Starfall perk is locked, able in 00:00:15
["#0000000040000001#","System","",1775526799]Unable to perform action Starfall perk is locked, able in 00:00:23
["#0000000040000001#","System","",1775526799]Action is not available.
["#0000000040000001#","System","",1775526799]Unable to perform action Pistol Mastery perk is locked, able in 00:00:35
["#0000000040000001#","System","",1775526799]Unable to perform action Pistol Mastery perk is locked, able in 00:00:13
["#0000000040000001#","System","",1775526799]Unable to perform action Pistol Mastery perk is locked, able in 00:00:36
["#0000000040000001#","System","",1775526799]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:12
["#0000000040000001#","System","",1775526799]Unable to perform action Champion of Light Artillery perk is locked, able in 00:01:09
["#0000000040000001#","System","",1775526799]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:16
["#0000000040000001#","System","",1775526799]Unable to perform action Champion of Nano Combat perk is locked, able in 00:01:13
["#0000000040000001#","System","",1775526799]You can't fight at the moment!
["#0000000040000001#","System","",1775526799]You're unable to attack.
["#0000000040000001#","System","",1775526799]You can't fight at the moment!
["#0000000040000001#","System","",1775526799]Target must recently have Affected by Thermal Detonation running!
["#0000000042000008#","You hit other","",1775526799]You hit Ground Chief Aune for 2759 points of projectile damage. Critical hit!
["#000000004200000a#","Other hit by other","",1775526799]Biggi3 hit Ground Chief Aune for 1185 points of melee damage. Glancing hit.
["#0000000042000009#","Your pet hit by other","",1775526800]Sword hit Ground Chief Aune for 1447 points of melee damage.
["#0000000042000018#","Me Cast Nano","",1775526800]Executing Nano Program: Workplace Depression.
["#0000000042000018#","Me Cast Nano","",1775526800]Executing Nano Program: Intensify Stress.
["#0000000042000018#","Me Cast Nano","",1775526800]Wait for current nano program execution to finish.
["#0000000042000018#","Me Cast Nano","",1775526800]Your target countered the nano program.
["#0000000042000018#","Me Cast Nano","",1775526800]Wait for current nano program execution to finish.
["#0000000042000018#","Me Cast Nano","",1775526800]Unable to execute nano program. You can't execute this nano on the target.
["#0000000042000018#","Me Cast Nano","",1775526800]Wait for current nano program execution to finish.
["#0000000042000018#","Me Cast Nano","",1775526800]Unable to execute nano program. You can't execute this nano on the target.
["#0000000042000018#","Me Cast Nano","",1775526800]Wait for current nano program execution to finish.
["#0000000042000018#","Me Cast Nano","",1775526800]Unable to execute nano program. You can't execute this nano on the target.
["#0000000042000018#","Me Cast Nano","",1775526800]Wait for current nano program execution to finish.
["#0000000042000018#","Me Cast Nano","",1775526800]Unable to execute nano program. You can't execute this nano on the target.
["#0000000042000005#","You hit other with nano","",1775526800]You hit Ground Chief Aune with nanobots for 1994 points of projectile damage.
["#0000000040000001#","System","",1775526800]You successfully perform Antitrust.
["#0000000040000001#","System","",1775526800]Unable to perform action Starfall perk is locked, able in 00:00:14
["#0000000040000001#","System","",1775526800]Unable to perform action Starfall perk is locked, able in 00:00:14
["#0000000040000001#","System","",1775526800]Unable to perform action Starfall perk is locked, able in 00:00:22
["#0000000040000001#","System","",1775526800]Action is not available.
["#0000000040000001#","System","",1775526800]Unable to perform action Pistol Mastery perk is locked, able in 00:00:34
["#0000000040000001#","System","",1775526800]Unable to perform action Pistol Mastery perk is locked, able in 00:00:12
["#0000000040000001#","System","",1775526800]Unable to perform action Pistol Mastery perk is locked, able in 00:00:35
["#0000000040000001#","System","",1775526800]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:11
["#0000000040000001#","System","",1775526800]Unable to perform action Champion of Light Artillery perk is locked, able in 00:01:08
["#0000000040000001#","System","",1775526800]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:15
["#0000000040000001#","System","",1775526800]Unable to perform action Champion of Nano Combat perk is locked, able in 00:01:12
["#0000000040000001#","System","",1775526800]Unable to perform action Loophole perk is locked, able in 00:00:15
["#0000000040000001#","System","",1775526800]Must be in combat mode.
["#0000000040000001#","System","",1775526800]You're unable to perform this action; please check the requirements of the item.
["#0000000042000008#","You hit other","",1775526800]You hit Ground Chief Aune for 1791 points of Fling Shot damage.
["#0000000040000001#","System","",1775526800]Target must recently have Affected by Thermal Detonation running!
["#0000000040000001#","System","",1775526800]Unable to perform action, Ranged Ener skill is locked, able in 00:00:02
["#0000000040000001#","System","",1775526800]Your target can't be attacked.
["#0000000042000005#","You hit other with nano","",1775526800]You hit Ground Chief Aune with nanobots for 840 points of projectile damage.
["#0000000042000008#","You hit other","",1775526800]You hit Ground Chief Aune for 3581 points of Burst damage.
["#0000000042000009#","Your pet hit by other","",1775526801]Sword hit Ground Chief Aune for 1740 points of melee damage.
["#000000004200000a#","Other hit by other","",1775526801]Biggi3's reflect shield hit Ground Chief Aune for 68 points of damage.
["#000000004200000a#","Other hit by other","",1775526801]Biggi3's damage shield hit Ground Chief Aune for 334 points of damage.
["#000000004200000a#","Other hit by other","",1775526801]Someone absorbed 1817 points of cold damage.
["#0000000040000001#","System","",1775526801]Ranged Energy Weapons skill available.
["#000000004200000a#","Other hit by other","",1775526802]Biggi3 hit Ground Chief Aune for 2116 points of melee damage.
["#000000004200000a#","Other hit by other","",1775526803]Biggi3 hit Ground Chief Aune for 2370 points of melee damage.
["#0000000042000008#","You hit other","",1775526803]You hit Ground Chief Aune for 2759 points of projectile damage. Critical hit!
["#0000000042000009#","Your pet hit by other","",1775526803]Sword hit Ground Chief Aune for 1239 points of radiation damage.
["#0000000040000001#","System","",1775526804]Attacked by Masked Commando!
["#0000000040000001#","System","",1775526804]Attacked by Masked Commando!
["#0000000042000009#","Your pet hit by other","",1775526804]Sword hit Ground Chief Aune for 1756 points of melee damage.
["#0000000042000004#","Other hit by nano","",1775526804]Ground Chief Aune was attacked with nanobots from Sword for 2500 points of fire damage.
["#000000004200000a#","Other hit by other","",1775526805]Biggi3's reflect shield hit Ground Chief Aune for 68 points of damage.
["#000000004200000a#","Other hit by other","",1775526805]Biggi3's damage shield hit Ground Chief Aune for 334 points of damage.
["#000000004200000a#","Other hit by other","",1775526805]Someone absorbed 1817 points of cold damage.
["#000000004200000a#","Other hit by other","",1775526805]Biggi3 hit Ground Chief Aune for 2116 points of melee damage.
["#0000000042000008#","You hit other","",1775526805]You hit Ground Chief Aune for 1791 points of projectile damage.
["#0000000042000004#","Other hit by nano","",1775526805]Ground Chief Aune was attacked with nanobots from Biggi3 for 588 points of radiation damage.
["#0000000042000004#","Other hit by nano","",1775526805]Ground Chief Aune was attacked with nanobots from Biggi3 for 1758 points of fire damage.
["#0000000042000004#","Other hit by nano","",1775526805]Ground Chief Aune was attacked with nanobots from Biggi3 for 622 points of projectile damage.
["#0000000042000004#","Other hit by nano","",1775526805]Ground Chief Aune was attacked with nanobots from Biggi3 for 613 points of chemical damage.
["#000000004200000a#","Other hit by other","",1775526805]Biggi3 hit Ground Chief Aune for 3925 points of Fast Attack damage.
["#0000000042000009#","Your pet hit by other","",1775526805]Sword hit Ground Chief Aune for 1695 points of melee damage.
["#0000000040000001#","System","",1775526805]Fling Shot skill available.
["#000000004200000a#","Other hit by other","",1775526806]Biggi3 hit Ground Chief Aune for 2625 points of melee damage.
["#0000000042000004#","Other hit by nano","",1775526806]Ground Chief Aune was attacked with nanobots from Biggi3 for 2826 points of melee damage.
["#0000000040000001#","System","",1775526806]Briefcase attacked by Masked Commando!
["#0000000040000001#","System","",1775526806]Grenade or Lumping Throwing skill available.
["#0000000042000008#","You hit other","",1775526807]You hit Ground Chief Aune for 2759 points of projectile damage. Critical hit!
["#0000000042000018#","Me Cast Nano","",1775526807]Executing Nano Program: Inefficient Arm Movements.
["#0000000042000018#","Me Cast Nano","",1775526807]Nano program executed successfully.
["#0000000042000004#","Other hit by nano","",1775526807]Ground Chief Aune was attacked with nanobots from Biggi3 for 3688 points of melee damage.
["#0000000042000018#","Me Cast Nano","",1775526807]Wait for current nano program execution to finish.
["#0000000042000018#","Me Cast Nano","",1775526807]Unable to execute nano program. You can't execute this nano on the target.
["#0000000042000009#","Your pet hit by other","",1775526807]Sword hit Ground Chief Aune for 1239 points of radiation damage.
["#0000000042000018#","Me Cast Nano","",1775526807]Wait for current nano program execution to finish.
["#0000000042000018#","Me Cast Nano","",1775526807]Unable to execute nano program. You can't execute this nano on the target.
["#0000000040000001#","System","",1775526807]Unable to perform action, Burst skill is locked, able in 00:00:02
["#0000000040000001#","System","",1775526807]Unable to perform action Starfall perk is locked, able in 00:00:06
["#0000000040000001#","System","",1775526807]Unable to perform action Starfall perk is locked, able in 00:00:06
["#0000000040000001#","System","",1775526807]Unable to perform action Starfall perk is locked, able in 00:00:14
["#0000000040000001#","System","",1775526807]Action is not available.
["#0000000040000001#","System","",1775526807]Unable to perform action Pistol Mastery perk is locked, able in 00:00:26
["#0000000040000001#","System","",1775526807]Unable to perform action Pistol Mastery perk is locked, able in 00:00:04
["#0000000040000001#","System","",1775526807]Unable to perform action Pistol Mastery perk is locked, able in 00:00:27
["#0000000040000001#","System","",1775526807]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:03
["#0000000040000001#","System","",1775526807]Unable to perform action Champion of Light Artillery perk is locked, able in 00:01:00
["#0000000040000001#","System","",1775526807]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:07
["#0000000040000001#","System","",1775526807]Unable to perform action Champion of Nano Combat perk is locked, able in 00:01:04
["#0000000040000001#","System","",1775526807]Unable to perform action Loophole perk is locked, able in 00:00:07
["#0000000040000001#","System","",1775526807]Must be in combat mode.
["#0000000040000001#","System","",1775526807]You're unable to perform this action; please check the requirements of the item.
["#0000000040000001#","System","",1775526807]Unable to perform action, Burst skill is locked, able in 00:00:02
["#0000000040000001#","System","",1775526807]Unable to perform action Starfall perk is locked, able in 00:00:06
["#0000000040000001#","System","",1775526807]Unable to perform action Starfall perk is locked, able in 00:00:06
["#0000000040000001#","System","",1775526807]Unable to perform action Starfall perk is locked, able in 00:00:14
["#0000000040000001#","System","",1775526807]Action is not available.
["#0000000040000001#","System","",1775526807]Unable to perform action Pistol Mastery perk is locked, able in 00:00:26
["#0000000040000001#","System","",1775526807]Unable to perform action Pistol Mastery perk is locked, able in 00:00:04
["#0000000040000001#","System","",1775526807]Unable to perform action Pistol Mastery perk is locked, able in 00:00:27
["#0000000040000001#","System","",1775526807]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:03
["#0000000040000001#","System","",1775526807]Unable to perform action Champion of Light Artillery perk is locked, able in 00:01:00
["#0000000040000001#","System","",1775526807]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:07
["#0000000040000001#","System","",1775526807]Unable to perform action Champion of Nano Combat perk is locked, able in 00:01:04
["#0000000040000001#","System","",1775526807]Unable to perform action Loophole perk is locked, able in 00:00:07
["#0000000040000001#","System","",1775526807]Must be in combat mode.
["#0000000040000001#","System","",1775526807]You're unable to perform this action; please check the requirements of the item.
["#0000000040000001#","System","",1775526808]Target must recently have Affected by Thermal Detonation running!
["#0000000040000001#","System","",1775526808]Your target can't be attacked.
["#0000000042000005#","You hit other with nano","",1775526808]You hit Ground Chief Aune with nanobots for 687 points of chemical damage.
["#0000000040000001#","System","",1775526808]Your target can't be attacked.
["#0000000042000005#","You hit other with nano","",1775526808]You hit Ground Chief Aune with nanobots for 840 points of projectile damage.
["#0000000042000008#","You hit other","",1775526808]You hit Ground Chief Aune for 2759 points of Fling Shot damage.
["#0000000040000001#","System","",1775526808]Unable to perform action, Fling Shot skill is locked, able in 00:00:06
["#0000000040000001#","System","",1775526808]Unable to perform action, Burst skill is locked, able in 00:00:02
["#0000000040000001#","System","",1775526808]Unable to perform action Starfall perk is locked, able in 00:00:06
["#0000000040000001#","System","",1775526808]Unable to perform action Starfall perk is locked, able in 00:00:06
["#0000000040000001#","System","",1775526808]Unable to perform action Starfall perk is locked, able in 00:00:14
["#0000000040000001#","System","",1775526808]Action is not available.
["#0000000040000001#","System","",1775526808]Unable to perform action Pistol Mastery perk is locked, able in 00:00:26
["#0000000040000001#","System","",1775526808]Unable to perform action Pistol Mastery perk is locked, able in 00:00:04
["#0000000040000001#","System","",1775526808]Unable to perform action Pistol Mastery perk is locked, able in 00:00:27
["#0000000040000001#","System","",1775526808]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:03
["#0000000040000001#","System","",1775526808]Unable to perform action Champion of Light Artillery perk is locked, able in 00:01:00
["#0000000040000001#","System","",1775526808]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:07
["#0000000040000001#","System","",1775526808]Unable to perform action Champion of Nano Combat perk is locked, able in 00:01:04
["#0000000040000001#","System","",1775526808]Unable to perform action Loophole perk is locked, able in 00:00:07
["#0000000040000001#","System","",1775526808]Must be in combat mode.
["#0000000040000001#","System","",1775526808]You're unable to perform this action; please check the requirements of the item.
["#0000000040000001#","System","",1775526808]Wait for your previous special attack to complete.
["#0000000040000001#","System","",1775526808]Target must recently have Affected by Thermal Detonation running!
["#0000000040000001#","System","",1775526808]Unable to perform action, Ranged Ener skill is locked, able in 00:00:11
["#0000000040000001#","System","",1775526808]Unable to perform action, Grenade skill is locked, able in 00:00:07
["#0000000040000001#","System","",1775526808]Target must recently have Affected by Thermal Detonation running!
["#0000000040000001#","System","",1775526808]Unable to perform action, Fling Shot skill is locked, able in 00:00:06
["#0000000040000001#","System","",1775526808]Unable to perform action, Burst skill is locked, able in 00:00:02
["#0000000040000001#","System","",1775526808]Unable to perform action Starfall perk is locked, able in 00:00:06
["#0000000040000001#","System","",1775526808]Unable to perform action Starfall perk is locked, able in 00:00:06
["#0000000040000001#","System","",1775526808]Unable to perform action Starfall perk is locked, able in 00:00:14
["#0000000040000001#","System","",1775526808]Action is not available.
["#0000000040000001#","System","",1775526808]Unable to perform action Pistol Mastery perk is locked, able in 00:00:26
["#0000000040000001#","System","",1775526808]Unable to perform action Pistol Mastery perk is locked, able in 00:00:04
["#0000000040000001#","System","",1775526808]Unable to perform action Pistol Mastery perk is locked, able in 00:00:27
["#0000000040000001#","System","",1775526808]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:03
["#0000000040000001#","System","",1775526808]Unable to perform action Champion of Light Artillery perk is locked, able in 00:01:00
["#0000000040000001#","System","",1775526808]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:07
["#0000000040000001#","System","",1775526808]Unable to perform action Champion of Nano Combat perk is locked, able in 00:01:04
["#0000000040000001#","System","",1775526808]Unable to perform action Loophole perk is locked, able in 00:00:07
["#0000000040000001#","System","",1775526808]Must be in combat mode.
["#0000000040000001#","System","",1775526808]You're unable to perform this action; please check the requirements of the item.
["#0000000040000001#","System","",1775526808]Unable to perform action, Ranged Ener skill is locked, able in 00:00:10
["#0000000040000001#","System","",1775526808]Unable to perform action, Grenade skill is locked, able in 00:00:06
["#0000000040000001#","System","",1775526808]Target must recently have Affected by Thermal Detonation running!
["#000000004200000a#","Other hit by other","",1775526808]Biggi3 hit Ground Chief Aune for 2371 points of melee damage.
["#0000000040000001#","System","",1775526808]Unable to perform action, Ranged Ener skill is locked, able in 00:00:10
["#0000000040000001#","System","",1775526808]Unable to perform action, Fling Shot skill is locked, able in 00:00:06
["#0000000040000001#","System","",1775526808]Unable to perform action, Burst skill is locked, able in 00:00:02
["#0000000040000001#","System","",1775526808]Unable to perform action Starfall perk is locked, able in 00:00:06
["#0000000040000001#","System","",1775526808]Unable to perform action Starfall perk is locked, able in 00:00:06
["#0000000040000001#","System","",1775526808]Unable to perform action Starfall perk is locked, able in 00:00:14
["#0000000040000001#","System","",1775526808]Action is not available.
["#0000000040000001#","System","",1775526808]Unable to perform action Pistol Mastery perk is locked, able in 00:00:26
["#0000000040000001#","System","",1775526808]Unable to perform action Pistol Mastery perk is locked, able in 00:00:04
["#0000000040000001#","System","",1775526808]Unable to perform action Pistol Mastery perk is locked, able in 00:00:27
["#0000000040000001#","System","",1775526808]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:03
["#0000000040000001#","System","",1775526808]Unable to perform action Champion of Light Artillery perk is locked, able in 00:01:00
["#0000000040000001#","System","",1775526808]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:07
["#0000000040000001#","System","",1775526808]Unable to perform action Champion of Nano Combat perk is locked, able in 00:01:04
["#0000000040000001#","System","",1775526808]Unable to perform action Loophole perk is locked, able in 00:00:07
["#0000000040000001#","System","",1775526808]Must be in combat mode.
["#0000000040000001#","System","",1775526808]You're unable to perform this action; please check the requirements of the item.
["#0000000040000001#","System","",1775526808]Unable to perform action, Grenade skill is locked, able in 00:00:06
["#000000004200000a#","Other hit by other","",1775526808]Biggi3's reflect shield hit Ground Chief Aune for 68 points of damage.
["#000000004200000a#","Other hit by other","",1775526808]Biggi3's damage shield hit Ground Chief Aune for 334 points of damage.
["#000000004200000a#","Other hit by other","",1775526808]Someone absorbed 915 points of cold damage.
["#000000004200000a#","Other hit by other","",1775526808]Ground Chief Aune hit Biggi3 for 902 points of cold damage.
["#0000000042000008#","You hit other","",1775526808]You hit Ground Chief Aune for 1791 points of projectile damage.
["#0000000040000001#","System","",1775526808]Target must recently have Affected by Thermal Detonation running!
["#0000000040000001#","System","",1775526808]Unable to perform action, Burst skill is locked, able in 00:00:02
["#0000000040000001#","System","",1775526808]Unable to perform action, Fling Shot skill is locked, able in 00:00:06
["#0000000040000001#","System","",1775526808]Must be in combat mode.
["#0000000040000001#","System","",1775526808]You're unable to perform this action; please check the requirements of the item.
["#0000000040000001#","System","",1775526808]Unable to perform action, Ranged Ener skill is locked, able in 00:00:10
["#0000000040000001#","System","",1775526808]Unable to perform action, Grenade skill is locked, able in 00:00:06
["#0000000042000009#","Your pet hit by other","",1775526808]Sword hit Ground Chief Aune for 3019 points of melee damage. Critical hit!
["#0000000040000001#","System","",1775526808]Unable to perform action, Ranged Ener skill is locked, able in 00:00:10
["#0000000040000001#","System","",1775526808]Unable to perform action, Fling Shot skill is locked, able in 00:00:05
["#0000000040000001#","System","",1775526808]Unable to perform action, Burst skill is locked, able in 00:00:01
["#0000000040000001#","System","",1775526808]Unable to perform action Starfall perk is locked, able in 00:00:05
["#0000000040000001#","System","",1775526808]Unable to perform action Starfall perk is locked, able in 00:00:05
["#0000000040000001#","System","",1775526808]Unable to perform action Starfall perk is locked, able in 00:00:13
["#0000000040000001#","System","",1775526808]Action is not available.
["#0000000040000001#","System","",1775526808]Unable to perform action Pistol Mastery perk is locked, able in 00:00:25
["#0000000040000001#","System","",1775526808]Unable to perform action Pistol Mastery perk is locked, able in 00:00:03
["#0000000040000001#","System","",1775526808]Unable to perform action Pistol Mastery perk is locked, able in 00:00:26
["#0000000040000001#","System","",1775526808]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:02
["#0000000040000001#","System","",1775526808]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:59
["#0000000040000001#","System","",1775526808]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:06
["#0000000040000001#","System","",1775526808]Unable to perform action Champion of Nano Combat perk is locked, able in 00:01:03
["#0000000040000001#","System","",1775526808]Unable to perform action Loophole perk is locked, able in 00:00:06
["#0000000041000000#","Your Pets","",1775526808]Plus1's pet, Briefcase: I'll fix his habius corpus!
["#0000000041000000#","Your Pets","",1775526808]Plus1's pet, Sword: Charge!
["#0000000040000001#","System","",1775526808]Unable to perform action, Grenade skill is locked, able in 00:00:06
["#0000000040000001#","System","",1775526808]Target must recently have Affected by Thermal Detonation running!
["#0000000040000001#","System","",1775526808]Unable to perform action, Ranged Ener skill is locked, able in 00:00:10
["#0000000040000001#","System","",1775526808]Unable to perform action, Grenade skill is locked, able in 00:00:06
["#0000000042000005#","You hit other with nano","",1775526808]You hit Ground Chief Aune with nanobots for 1959 points of fire damage.
["#0000000040000001#","System","",1775526808]Burst skill available.
["#0000000042000018#","Me Cast Nano","",1775526809]Executing Nano Program: Wasteful Arm Movements.
["#0000000042000018#","Me Cast Nano","",1775526809]Nano program executed successfully.
["#0000000042000018#","Me Cast Nano","",1775526809]Wait for current nano program execution to finish.
["#0000000042000018#","Me Cast Nano","",1775526809]Unable to execute nano program. You can't execute this nano on the target.
["#0000000042000018#","Me Cast Nano","",1775526809]Wait for current nano program execution to finish.
["#0000000042000018#","Me Cast Nano","",1775526809]Unable to execute nano program. You can't execute this nano on the target.
["#000000004200000a#","Other hit by other","",1775526809]Biggi3 hit Ground Chief Aune for 2625 points of melee damage.
["#0000000042000018#","Me Cast Nano","",1775526809]Wait for current nano program execution to finish.
["#0000000042000018#","Me Cast Nano","",1775526809]Unable to execute nano program. You can't execute this nano on the target.
["#0000000042000009#","Your pet hit by other","",1775526809]Sword hit Ground Chief Aune for 1442 points of melee damage.
["#0000000042000018#","Me Cast Nano","",1775526809]Wait for current nano program execution to finish.
["#0000000042000018#","Me Cast Nano","",1775526809]Unable to execute nano program. You can't execute this nano on the target.
["#0000000042000018#","Me Cast Nano","",1775526809]Wait for current nano program execution to finish.
["#0000000042000018#","Me Cast Nano","",1775526809]Unable to execute nano program. You can't execute this nano on the target.
["#0000000042000018#","Me Cast Nano","",1775526809]Wait for current nano program execution to finish.
["#0000000042000018#","Me Cast Nano","",1775526809]Unable to execute nano program. You can't execute this nano on the target.
["#0000000042000009#","Your pet hit by other","",1775526809]Briefcase hit Ground Chief Aune for 1859 points of melee damage.
["#0000000042000018#","Me Cast Nano","",1775526809]Wait for current nano program execution to finish.
["#0000000042000018#","Me Cast Nano","",1775526809]Unable to execute nano program. You can't execute this nano on the target.
["#0000000040000001#","System","",1775526810]Unable to perform action, Fling Shot skill is locked, able in 00:00:04
["#0000000040000001#","System","",1775526810]Unable to perform action Starfall perk is locked, able in 00:00:04
["#0000000040000001#","System","",1775526810]Unable to perform action Starfall perk is locked, able in 00:00:04
["#0000000040000001#","System","",1775526810]Unable to perform action Starfall perk is locked, able in 00:00:12
["#0000000040000001#","System","",1775526810]Action is not available.
["#0000000040000001#","System","",1775526810]Unable to perform action Pistol Mastery perk is locked, able in 00:00:24
["#0000000040000001#","System","",1775526810]Unable to perform action Pistol Mastery perk is locked, able in 00:00:02
["#0000000040000001#","System","",1775526810]Unable to perform action Pistol Mastery perk is locked, able in 00:00:25
["#0000000040000001#","System","",1775526810]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:01
["#0000000040000001#","System","",1775526810]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:58
["#0000000040000001#","System","",1775526810]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:05
["#0000000040000001#","System","",1775526810]Unable to perform action Champion of Nano Combat perk is locked, able in 00:01:02
["#0000000040000001#","System","",1775526810]Unable to perform action Loophole perk is locked, able in 00:00:05
["#0000000040000001#","System","",1775526810]Must be in combat mode.
["#0000000040000001#","System","",1775526810]You're unable to perform this action; please check the requirements of the item.
["#0000000040000001#","System","",1775526810]Unable to perform action, Fling Shot skill is locked, able in 00:00:04
["#0000000040000001#","System","",1775526810]Unable to perform action Starfall perk is locked, able in 00:00:04
["#0000000040000001#","System","",1775526810]Unable to perform action Starfall perk is locked, able in 00:00:04
["#0000000040000001#","System","",1775526810]Unable to perform action Starfall perk is locked, able in 00:00:12
["#0000000040000001#","System","",1775526810]Action is not available.
["#0000000040000001#","System","",1775526810]Unable to perform action Pistol Mastery perk is locked, able in 00:00:24
["#0000000040000001#","System","",1775526810]Unable to perform action Pistol Mastery perk is locked, able in 00:00:02
["#0000000040000001#","System","",1775526810]Unable to perform action Pistol Mastery perk is locked, able in 00:00:25
["#0000000040000001#","System","",1775526810]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:01
["#0000000040000001#","System","",1775526810]Unable to perform action Champion of Light Artillery perk is locked, able in 00:00:58
["#0000000040000001#","System","",1775526810]Unable to perform action Champion of Nano Combat perk is locked, able in 00:00:05
["#0000000040000001#","System","",1775526810]Unable to perform action Champion of Nano Combat perk is locked, able in 00:01:02
["#0000000040000001#","System","",1775526810]Unable to perform action Loophole perk is locked, able in 00:00:05
["#0000000040000001#","System","",1775526810]Target must recently have Affected by Thermal Detonation running!
["#0000000040000001#","System","",1775526810]Unable to perform action, Ranged Ener skill is locked, able in 00:00:08
["#0000000040000001#","System","",1775526810]Unable to perform action, Grenade skill is locked, able in 00:00:04
["#0000000042000008#","You hit other","",1775526810]You hit Ground Chief Aune for 5373 points of Burst damage.
["#0000000042000008#","You hit other","",1775526810]You hit Ground Chief Aune for 2759 points of projectile damage. Critical hit!
["#0000000040000001#","System","",1775526810]Wait for your previous special attack to complete.
["#0000000042000004#","Other hit by nano","",1775526810]Ground Chief Aune was attacked with nanobots from Biggi3 for 4307 points of melee damage.
